PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PCT_INHIB_DD2
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percent inhibition of P. falciparum Dd2 growth.
RESULT_UNIT,,,,,,,,PERCENT
8607,85866524,20080893,CC1=CC(=O)C(=C(N1)C)C2=CC(=CC=C2)OC3=CC=C(C=C3)Cl,Active,,,,95
8608,85866525,20080897,CC1=C(C(=O)C(=C(N1)C)Cl)C2=CC=C(C=C2)C3=CC=C(C=C3)Cl,Active,,,,96
8609,85866526,20080907,CC1=CC(=O)C(=C(N1)C)C2=CC=C(C=C2)S(=O)(=O)C3=CC=C(C=C3)Cl,Active,,,,80
8610,85866527,20080819,CC1=C(C(=O)C(=C(N1)C)Cl)C2=CC=C(C=C2)OC3=CC=C(C=C3)Cl,Inactive,,,,16
8611,85866528,44531214,CC1=C(C(=O)C(=C(N1)C)Br)C2=CC=C(C=C2)C(=O)C3=CC=CC=C3,Active,,,,96
8612,85866529,20080809,CC1=C(C(=O)C(=C(N1)C)Br)C2=CC=C(C=C2)OC3=CC=C(C=C3)Cl,Active,,,,96
8613,85866530,20080865,CC1=C(C(=O)C(=C(N1)C)Br)C2=CC=C(C=C2)C3=CC=C(C=C3)F,Active,,,,52
8614,85866531,44531215,CC1=C(C(=O)C2=C(N1)C=C(C=C2)OC)C3CCC(CC3)C4=CC=C(C=C4)Cl,Active,,,,84
8615,85866532,20080889,CC1=C(C(=O)C(=C(N1)C)Cl)C2CCC(CC2)C3=CC=C(C=C3)Cl,Active,,,,97
8616,85866533,44531216,CC1=C(C(=O)C(=C(N1)C)I)C2=CC=C(C=C2)Cl,Active,,,,96
8617,85866534,290702,CCCCCCCC1=C(NC2=CC=CC=C2C1=O)C,Active,,,,96
8618,85866535,44531217,CC1=C(C(=O)C2=C(N1)C=C(C=C2)OC)Br,Active,,,,74
8619,85866536,886844,CC1=C(C(=O)C2=CC=CC=C2N1)Br,Active,,,,84
8620,85866537,20080808,CC1=C(C(=O)C(=C(N1)C)Br)C2=C(C=C(C=C2)Cl)Cl,Active,,,,57
8621,85866538,20080825,CC1=C(C(=O)C(=C(N1)C)Br)C2=CC=C(C=C2)C(F)(F)F,Active,,,,96
